simulation_id,state_1(t),state_2(t),state_1(t+dt),state_2(t+dt)
0,-0.443818788942413,-0.6179230276970049,-0.4455425363975422,-0.6161992802418758
0,-0.4455425363975422,-0.6161992802418758,-0.4472321513661757,-0.6145096652732422
0,-0.4472321513661757,-0.6145096652732422,-0.4488883097168295,-0.6128535069225884
0,-0.4488883097168295,-0.6128535069225884,-0.4505116739349263,-0.6112301427044917
0,-0.4505116739349263,-0.6112301427044917,-0.4521028933877984,-0.6096389232516196
0,-0.4521028933877984,-0.6096389232516196,-0.4536626045844436,-0.6080792120549745
0,-0.4536626045844436,-0.6080792120549745,-0.45519143143013685,-0.6065503852092813
0,-0.45519143143013685,-0.6065503852092813,-0.45668998547600115,-0.6050518311634171
0,-0.45668998547600115,-0.6050518311634171,-0.4581588661636358,-0.6035829504757825
0,-0.4581588661636358,-0.6035829504757825,-0.4595986610649012,-0.6021431555745171
0,-0.4595986610649012,-0.6021431555745171,-0.4610099461169554,-0.600731870522463
0,-0.4610099461169554,-0.600731870522463,-0.46239328585263656,-0.5993485307867819
0,-0.46239328585263656,-0.5993485307867819,-0.46374923362628373,-0.5979925830131346
0,-0.46374923362628373,-0.5979925830131346,-0.46507833183508596,-0.5966634848043324
0,-0.46507833183508596,-0.5966634848043324,-0.46638111213604827,-0.5953607045033701
0,-0.46638111213604827,-0.5953607045033701,-0.46765809565866173,-0.5940837209807567
0,-0.46765809565866173,-0.5940837209807567,-0.468909793213362,-0.5928320234260565
0,-0.468909793213362,-0.5928320234260565,-0.47013670549586056,-0.591605111143558
0,-0.47013670549586056,-0.591605111143558,-0.4713393232874294,-0.5904024933519891
0,-0.4713393232874294,-0.5904024933519891,-0.47251812765122025,-0.5892236889881983
0,-0.47251812765122025,-0.5892236889881983,-0.4736735901246963,-0.5880682265147223
0,-0.4736735901246963,-0.5880682265147223,-0.4748061729082532,-0.5869356437311655
0,-0.4748061729082532,-0.5869356437311655,-0.4759163290501058,-0.5858254875893129
0,-0.4759163290501058,-0.5858254875893129,-0.47700450262751304,-0.5847373140119057
0,-0.47700450262751304,-0.5847373140119057,-0.4780711289244151,-0.5836706877150036
0,-0.4780711289244151,-0.5836706877150036,-0.4791166346055526,-0.5826251820338662
0,-0.4791166346055526,-0.5826251820338662,-0.48014143788713826,-0.5816003787522805
0,-0.48014143788713826,-0.5816003787522805,-0.4811459487041489,-0.58059586793527
0,-0.4811459487041489,-0.58059586793527,-0.48213056887430505,-0.5796112477651139
0,-0.48213056887430505,-0.5796112477651139,-0.48309569225880317,-0.5786461243806158
0,-0.48309569225880317,-0.5786461243806158,-0.48404170491986553,-0.5777001117195535
0,-0.48404170491986553,-0.5777001117195535,-0.48496898527517024,-0.5767728313642487
0,-0.48496898527517024,-0.5767728313642487,-0.4858779042492234,-0.5758639123901956
0,-0.4858779042492234,-0.5758639123901956,-0.48676882542173355,-0.5749729912176854
0,-0.48676882542173355,-0.5749729912176854,-0.48764210517304896,-0.5740997114663701
0,-0.48764210517304896,-0.5740997114663701,-0.48849809282671397,-0.573243723812705
0,-0.48849809282671397,-0.573243723812705,-0.4893371307892034,-0.5724046858502158
0,-0.4893371307892034,-0.5724046858502158,-0.4901595546868895,-0.5715822619525297
0,-0.4901595546868895,-0.5715822619525297,-0.4909656935002972,-0.5707761231391221
0,-0.4909656935002972,-0.5707761231391221,-0.49175586969570045,-0.5699859469437187
0,-0.49175586969570045,-0.5699859469437187,-0.49253039935411336,-0.5692114172853059
0,-0.49253039935411336,-0.5692114172853059,-0.49328959229772645,-0.5684522243416928
0,-0.49328959229772645,-0.5684522243416928,-0.4940337522138398,-0.5677080644255795
0,-0.4940337522138398,-0.5677080644255795,-0.49476317677634224,-0.5669786398630772
0,-0.49476317677634224,-0.5669786398630772,-0.49547815776478443,-0.566263658874635
0,-0.49547815776478443,-0.566263658874635,-0.49617898118109505,-0.5655628354583244
0,-0.49617898118109505,-0.5655628354583244,-0.496865927363985,-0.5648758892754345
0,-0.496865927363985,-0.5648758892754345,-0.49753927110108687,-0.5642025455383327
0,-0.49753927110108687,-0.5642025455383327,-0.49819928173887357,-0.5635425349005461
1,-0.16558589055239215,0.6820259426705972,-0.1571939711430379,0.6736340232612431
1,-0.1571939711430379,0.6736340232612431,-0.1489682228714917,0.6654082749896969
1,-0.1489682228714917,0.6654082749896969,-0.14090535532876675,0.657345407446972
1,-0.14090535532876675,0.657345407446972,-0.13300214326033966,0.6494421953785449
1,-0.13300214326033966,0.6494421953785449,-0.12525542527600547,0.6416954773942107
1,-0.12525542527600547,0.6416954773942107,-0.11766210258527954,0.6341021547034847
1,-0.11766210258527954,0.6341021547034847,-0.1102191377578399,0.6266591898760452
1,-0.1102191377578399,0.6266591898760452,-0.10292355350851473,0.6193636056267201
1,-0.10292355350851473,0.6193636056267201,-0.09577243150632853,0.612212483624534
1,-0.09577243150632853,0.612212483624534,-0.08876291120713087,0.6052029633253363
1,-0.08876291120713087,0.6052029633253363,-0.08189218870934055,0.598332240827546
1,-0.08189218870934055,0.598332240827546,-0.0751575156323476,0.591597567750553
1,-0.0751575156323476,0.591597567750553,-0.0685561980171244,0.5849962501353299
1,-0.0685561980171244,0.5849962501353299,-0.062085595248606094,0.5785256473668116
1,-0.062085595248606094,0.5785256473668116,-0.05574311899940943,0.5721831711176149
1,-0.05574311899940943,0.5721831711176149,-0.04952623219446726,0.5659662843126727
1,-0.04952623219446726,0.5659662843126727,-0.04343244799616467,0.5598725001143702
1,-0.04343244799616467,0.5598725001143702,-0.0374593288095708,0.5538993809277764
1,-0.0374593288095708,0.5538993809277764,-0.03160448530736836,0.5480445374255739
1,-0.03160448530736836,0.5480445374255739,-0.025865575474090855,0.5423056275922964
1,-0.025865575474090855,0.5423056275922964,-0.02024030366928515,0.5366803557874907
1,-0.02024030366928515,0.5366803557874907,-0.0147264197092247,0.5311664718274303
1,-0.0147264197092247,0.5311664718274303,-0.009321717966806052,0.5257617700850116
1,-0.009321717966806052,0.5257617700850116,-0.004024036489268584,0.5204640886074741
1,-0.004024036489268584,0.5204640886074741,0.0011687438666154138,0.5152713082515901
1,0.0011687438666154138,0.5152713082515901,0.006258700282226289,0.5101813518359791
1,0.006258700282226289,0.5101813518359791,0.011247868807997276,0.5051921833102082
1,0.011247868807997276,0.5051921833102082,0.016138245177861818,0.5003018069403437
1,0.016138245177861818,0.5003018069403437,0.02093178560757375,0.49550826651063173
1,0.02093178560757375,0.49550826651063173,0.025630407577219676,0.49080964454098586
1,0.025630407577219676,0.49080964454098586,0.03023599059823659,0.486204061519969
1,0.03023599059823659,0.486204061519969,0.03475037696524148,0.4816896751529641
1,0.03475037696524148,0.4816896751529641,0.03917537249297379,0.47726467962523184
1,0.03917537249297379,0.47726467962523184,0.043512747238645316,0.4729273048795603
1,0.043512747238645316,0.4729273048795603,0.04776423620998678,0.4686758159082189
